Package Name,Class Name,NOF,NOM,NOM+NOF,God Class
org.jgrapht.experimental.isomorphism,AbstractExhaustiveIsomorphismInspector,8,0,8,No
org.jgrapht.experimental.isomorphism,AdaptiveIsomorphismInspectorFactory,4,0,4,No
org.jgrapht.experimental.isomorphism,EquivalenceIsomorphismInspector,0,0,0,No
org.jgrapht.experimental.isomorphism,GraphIsomorphismInspector,0,0,0,No
org.jgrapht.experimental.isomorphism,GraphOrdering,5,0,5,No
org.jgrapht.experimental.isomorphism,IsomorphismRelation,5,0,5,No
org.jgrapht.experimental.isomorphism,PermutationIsomorphismInspector,0,0,0,No
org.jgrapht.experimental.isomorphism,VertexDegreeEquivalenceComparator,2,1,3,No
org.jgrapht.experimental.isomorphism,EdgeTopologyCompare,0,0,0,No
org.jgrapht.experimental.isomorphism,IntegerVertexFactory,1,0,1,No
org.jgrapht.experimental.isomorphism,IsomorphismInspectorTest,4,0,4,No
org.jgrapht.experimental.dag,DirectedAcyclicGraphTest,4,0,4,No
org.jgrapht.experimental.isomorphism.comparators,DirectedEdgeWeightOddEvenComparator,1,0,1,No
org.jgrapht.experimental.isomorphism.comparators,Mod3GroupComparator,0,0,0,No
org.jgrapht.experimental.isomorphism.comparators,OddEvenGroupComparator,0,0,0,No
org.jgrapht.experimental,GraphReader,4,0,4,No
org.jgrapht.experimental,GraphSquare,4,0,4,No
org.jgrapht.experimental,GraphTests,0,0,0,No
org.jgrapht.experimental,PartiteRandomGraphGenerator,2,0,2,No
org.jgrapht.experimental,RandomGraphHelper,1,0,1,No
org.jgrapht.experimental,UniformRandomGraphGenerator,2,0,2,No
org.jgrapht.experimental.permutation,ArrayPermutationsIter,0,0,0,No
org.jgrapht.experimental.permutation,CollectionPermutationIter,3,0,3,No
org.jgrapht.experimental.permutation,CompoundPermutationIter,3,0,3,No
org.jgrapht.experimental.permutation,IntegerPermutationIter,6,1,7,No
org.jgrapht.experimental.permutation,PermutationFactory,0,0,0,No
org.jgrapht.experimental.permutation,CompoundPermutationIterTest,1,0,1,No
org.jgrapht.ext,DOTExporter,3,0,3,No
org.jgrapht.ext,EdgeNameProvider,0,0,0,No
org.jgrapht.ext,GmlExporter,14,0,14,No
